video_id,title,view_count,duration,upload_date,transcript
uCapP4WmNeQ,Dog's friendship #shorts #love,24152,32,20250922,"Every time the girl lays down a mattress, her two golden retrievers come over. They curl up tight and sleep together. But surprisingly, her third dog, Border Collie, always squeezes in between them, snuggling right up to the goldens. No matter how the girl moves the mattress, they stay glued together and drift off to sleep together. But one day, the girl tried to separate them. She set up three mattresses, so each dog could pick one. But when it was time to sleep, they still all piled onto the same mattress. These three dogs showed what true friendship looks like."
eoBsYmy_Pho,This cat hates take a bath but the owner won over it,202858,48,20250919,"This cat really hates bath time because it is terrified of water. Every time the owner tries to wash it, the cat keeps fighting back, struggling like crazy. The owner has to hold it and base together, but every time the owner ends up soaked, too. So, she came up with a clever idea. She put the cat inside a glass bucket, pretending to give it a bath to show it was not scary. Then, she slowly poured water to wet its fur, helping it get used to water. Finally, she filled the bucket with water and gently put the cat inside. Since the bucket was small, the cat felt safe. Slowly, it started to enjoy the bath. After that, it often asked for more bath time, and once it even let out a fart while relaxing. Soon, the cat completely fell in love with water. It even started swimming everyday, never wanting to stop. Would you want a cat that loves bath time this"
Xa4rY4Xuvvs,These dogs showed us what a true friend is,26463264,39,20250918,"When these two dogs fought over a piece of meat, the owner did something shocking. He did not split the meat evenly. He gave the smaller piece to the black dog. This made the black dog very upset. The next day, the unfair owner gave them cake. He gave the white dog a big piece and only gave the black dog a tiny piece. The black dog almost cried. Seeing this, the white dog decided to do something. The next day, when the owner tried to feed them, the white dog refused to eat. It gently tapped the black dog with its paw, telling the owner to feed it first. After that, every time there was good food, the white dog would do the same thing to remind the owner, ""Do not be unfair."" But sadly, these sweet dogs only got two likes."
bn4-dh1wPg4,This cat refuses to let go of its bowl,498598,49,20250918,"This cat really cares about its bowl. Look, the owner wanted to test a new firework using the cat's bowl. So, he used some grass to distract the cat and secretly took the bowl away. But while playing, he accidentally launched the bowl into the pond. The owner felt super guilty, so he explained everything to the cat. But after hearing that, the cat got really mad, ran straight downstairs, and swore to never talk to him again. The owner had no choice. He bought the cat a huge new bowl and filled it with food. But the cat did not like it because the bowl was not silver. So the owner had an idea. He stole the dog's silver bowl and gave it to the cat, telling it this was its original bowl. From then on, the cat became obsessed with the bowl. It even hugged it while sleeping and carried it everywhere it went. The owner was speechless. The next day, the cat somehow found itself an even bigger silver"
uUBEuDaa11A,The owner put a magnet on his cat and started a recycling business,163331,49,20250917,"This cat started a recycling business with a magnet. Look, its owner put a magnet collar on the cat just to see what it could find. But as soon as they stepped outside, the cat picked up a soda can. Then it found a metal bar. And as the cat kept walking, it picked up all kinds of scrap metal, pliers, springs, even an iron rod. The owner was thrilled because all that metal could be sold for cash. But on the way home, found an abandoned electric scooter. The owner was overjoyed. That could sell for a lot of money. After pushing the scooter home, no one expected this. The cat found a whole car. The owner was so excited. After selling everything, he made a pure gold necklace for the cat. But just as he was about to put it on, the cat's magnet picked up a female cat's collar. And not just one, it picked up another female cat, too. Looks like this cat just found himself two girlfriends."
81AAvo8aERs,This girl surprised by otter friend,183341,51,20250916,"This otter gets a gift every single day. Look, this woman wanted to surprise the otter with a present. She tried to get its attention and it worked. The otter ran to its little window, stuck out its paw, waiting for the woman to hand it something. You could tell it was curious, wondering what the gift would be. When it finally grabbed it, it realized it was a piece of fish. The otter was so happy and super thankful. After that, the woman started coming back every day. Sometimes she brought fish, sometimes she brought ice cubes, and every time the otter took the gift, she would sneak in a little hand touch. One day, the woman brought two gifts just to see if the otter would choose fish or ice. To her surprise, the otter picked the ice without hesitation. She did not expect that. And what's even crazier, that day, when the woman brought her daughter to see the otter, the otter dove into the water, picked up a shiny little rock, and gave it to the girl as a"
nmTGSKesrRE,Cat's mini tiny products,1412174,47,20250916,"This owner bought her cat a mini cat tree. Look, because the cat was too chubby, it completely flattened the first one to cheer it up. The owner bought a new cat tree, but she messed up the size and came home with a tiny one. The cat was speechless since it could only fit its chin on it. Seeing how sad the cat was, the owner decided to buy more stuff again. She got all the sizes wrong. Everything turned out many, like a tiny cat bed, a tiny litter box, a tiny cat carrier, even a tiny food bowl. The cat was shocked, thinking its owner had gone crazy. To prove herself reliable, the owner finally brought home a full-size cat tree. She invited the cat to try it out, and surprisingly, the cat loved it, thinking the owner finally got it right. But the next day, the owner showed up with a giant fluffy bed. Turns out she messed up the size"
LUEsSOYp-7o,This little puppy was born with an extra tail,3186358,54,20250915,"This newborn puppy was born with a tail on its head. It looked like a little unicorn, but the owner was really worried. She feared the extra tail might hurt the puppy's health, so she took it to the vet. But even the doctor wasn't sure if the tail would cause problems, so the owner started caring for it even more. She bottlefed the puppy everyday and kept a close eye on it. The dog mom also cared a lot. She licked the puppy everyday as if to cheer it on. After 1 month, the owner noticed something amazing. The tip of the tail turned black, so she gave the puppy even better nutrition. After 2 months, the tail on its head started to fall off. After 3 months, the puppy was strong and full of energy. The tail was completely gone, leaving just a little mark like a tiny unique stamp. And the best part, the tail never harmed the puppy at all. Instead, it grew up super cute and healthy. Under the owner's care, it became a very happy dog. Would you want a puppy like"
homYHeY4b1k,The owner thought it was his cat made the cicada buzzing,8672355,52,20250915,"This owner thought his cat ate a cicada. Look, when he was taking a nap, he heard a cicada buzzing non-stop. So, he grabbed a slipper and chased it away. But the next day, he got woken up by the same buzzing again. He got really mad and threw his slipper at it again, but the buzzing never stopped. Then, he listened carefully and realized the sound was coming from his cat's belly. He was shocked. He thought his cat swallowed a cicada hole, so he called the vet asking what to do. The cat said it was normal for cats to eat cicas, but the buzzing scared him so much he shook the cat, hoping it would spit the cicada out. But nothing happened. He had an idea. He grabbed a bunch of snacks, fed the cat, even gave it two bowls of kibble, hoping it would poop the cicada out, but just when he thought it was over, he heard the buzzing behind him. Turns out the cicada was hiding under the cat bed the whole time. The cat never told him, just tricked him into giving more [Music]"
SGiOXebQjSQ,This cat lost its eggs but the owner gave it a surprise,145732,55,20250914,"This owner made a special gift for his cat using its own fur. Look, after an accident, this cat lost its most precious thing. Ever since then, whenever it saw something round, especially an egg, it would get really sad. To cheer it up, the owner decided to give it a gift. He pulled some fur from the cat's head, then used needle felting to shape the fur into an egg. Next, he made sure the egg smelled like the cat. Finally, he stuck it on the cat when it wasn't looking. Just like that, the cat really thought it got its eggs back. It was over the moon, showing off to every other cat like it just found its treasure again. But then, while it was feeling proud, the golden cat wanted the egg, too, and quietly stole it away. The white cat was shocked and started fighting the golden cat. Losing its egg again, made the cat even sadder, for the owner bought it two new eggs. At first, the cat was really happy, but the next second, the owner cracked both eggs right in front of it. Now the cat is completely heartbroken."
jecBTAIL1OM,This cat make friends with new pet but end up wrong,2229396,54,20250914,"If you have a cat, never adopt a pigeon. Look, when this guy's girlfriend found a pigeon, he thought it was too cute, so they decided to keep it. But soon, the pigeon became best friends with the cat and the ferret. The ferret even brought a piece of meat, trying to feed it to the pigeon. The pigeon also loved flying next to the cat, watching cartoons together. Then the owner decided to prank his cat. He hid the pigeon and placed some fake feathers in its nest. Then he gave the cat some food. Right in the middle of eating, the owner told the cat that the food was made from its pigeon friend. The cat was shocked. It ran straight to the nest to check, but found only a few feathers. Now the cat really thought the pigeon was gone. It became so sad, refused to eat or drink all day, even cried quietly when no one was watching. Then the owner secretly brought the pigeon back. At first, the cat did not react. But suddenly, it realized what happened and thought it was seeing the ghost of the pigeon. It got so scared and ran"
Y8BkUjNxpDs,This cat just wants to be loved,380316,47,20250913,"Why does this cat look so jealous? Look, this cat used to be so happy. It had all of its owner's love. Until recently, the owner adopted a new cat and everything changed. Now all the snacks, toys, cuddles, and all the love. Go to the new cat. This one gets less and less attention. Its little heart is breaking. It feels so jealous. It hides under the blanket and cries alone, but it still stays quiet, just sitting by the owner's side, hoping to be loved again. One morning, when the owner opened the door, he found all the toys placed at the door. The cat was trying to give them to him. That's when the owner realized he had been ignoring his cat. He picked it up and held it tight, kept saying sorry. Then he gave it the most expensive food, trying to make it feel better. But while eating, the cat started to cry because it finally felt loved again. If it were you, would you love this cat,"
6z0cMw6YbYY,This Sus cat love pretty woman,742499,52,20250913,"This cat is a total creep. It is obsessed with pretty girls. Whenever a girl visits, it sticks to her like glue and refuses to let her leave. Even worse, it sneaks into the bathroom to spy on her shower. Sometimes it even gets a no while watching. The owner is speechless, so she decides to teach it a lesson. One day, she invites a pretty girl over. Just as expected, the cat runs straight to her. The owner fills a syringe with soda and secretly sprays it on the girl's clothes. Then, she blames the cat, saying it peed on her. But to her surprise, the girl does not get mad. She just changes clothes and keeps playing with the cat. The owner is not satisfied, so she grabs some dark salad dressing and smears it on the cat's butt. Then she lies again, saying the cat pooped everywhere. This time, the girl gets disgusted and even scolds the cat. The poor cat feels so wronged. From that day on, it never dares to approach pretty girls"
UfhbXmCC6y4,The owner is preparing his cats for vacation,2190073,51,20250912,"This owner is taking his kittens on vacation. First, he packed a tiny suitcase for each one and filled it with cat supplies. Then, he bought cute little outfits so they can wear them on the trip just in case. He even taught them survival skills like hiding when they sense danger. Soon, the kittens all learned how to crawl into holes. But since this was their first trip, he had to train them to ride in a car. He built a mini bus out of cardboard so the kittens could practice. But after one hard break, one kitten was gone. It had been thrown out of the box, so he bought toy cars to train their balance. Finally, the big day came. Just when he thought everything was ready, one kitten still flew out of the car. Good thing he had a tiny car seat prepared and strapped the kitten inside. But when they got to the hotel, the kittens were so tired, they just stayed in bed and refused to go out. The owner could only face pal. So, would you take your cats on vacation?"
PFmlh62B1Do,The owner tricked his cat twice,170596,57,20250912,"This owner tried feeding his cats fake food just to see how they would react. Look, because he saw his cat licking the meat on the TV screen, so he decided to run a little test. First, he used his iPad to fake feed them. Surprisingly, both cats fell for it. They thought it was real food and started chopping down on the screen. The owner was speechless, so he made it harder. He printed out pictures of cat food and treats to see if the cats would believe it. Sure enough, they rushed over and started eating like crazy. Then he printed little fish and chicken breast and even rubbed real meat scent on it. The cats went wild. They ate it like it was the best thing ever. But then one cat started to suspect something. It realized it was being tricked and refused to eat the fake food anymore. But here is the twist. When the owner finally gave them real cat food, this cat thought it was fake, too, and refused to touch it. It thought it was the smartest one in the house. But the other cats ate happily. By the time it smelled the food and realized it was real, everything was already gone."
onv3Mss-n0s,This dog loves hide from the owner,173093,56,20250911,"This is why you should never get a dog. Look, this guy got a puppy, but he can never find it. Because this puppy loves to disguise itself as a toy and hide in a pile of stuffed animals. This drives the owner crazy. No matter if he snaps his fingers or calls the puppy's name, the puppy stays completely still until he pulls out its favorite snack. Then it finally gives itself away. After that, whenever the puppy makes a mistake, it hides again, pretending to be a toy. The owner has to check every single one until he uses treats to lure it out. To punish the puppy, the owner decided to hide, too. At first, he climbed up on top of the door, but the puppy spotted him right away and looked at him like he was crazy. Then, he hid behind the door, hoping the puppy would struggle to find him, but again, the puppy found him instantly. The owner refused to give up. He bought a giant tube and hid inside it. This time, the puppy had no clue where he was. Then suddenly the owner jumped out of the tube and gave the puppy a good scare."
syxm9JBSgLo,These cats fell in love with the water bed,1315817,53,20250911,"This owner bought a giant water bed for his cats. Look, because the weather was so hot. All the cats were suffering. They were even panting like dogs. So, the owner got them a cooling water bed. But the cats hated it. They jumped off right away. Then he realized the toy fish inside never moved. So, the cats were not interested. He had an idea. He put his real pet fish inside the bed. Suddenly, the cats got super excited. They started playing non-stop, even trying to catch the fish. But just when the owner thought everything was fine, the cats tore the water bed and soaked the carpet and blankets. So he put the fish in a bowl and told the cats to watch them while he cleaned the mess. But when he came back, one fish was missing. To punish the cats, he bought another giant water bed so they could feel what it is like to be flooded. But surprisingly, the cats learned how to swim. They started enjoying the water. So, the owner put on swim gear, too, and ended up swimming together with his cats."
7lX5FT9Q1XI,This woman rescued a pregnant dog but things went wrong,106122,43,20250910,"This stray dog looked pregnant for months, but there was no sign of giving birth. Her former owner got annoyed and abandoned her in the mountains. Luckily, a kind woman found her and took her home. She noticed the dog's belly was swollen huge. Even walking was hard. Yet, despite this, the dog was still very loyal. Every morning, she walked with her owner to work. Every evening, she sat by the road waiting for her to come back. But after a few days, the woman saw the dog losing energy, looking sick, so she rushed her to the vet. To her surprise, the vet said the dog was not pregnant. The swollen belly was caused by parasites. After treatment, the dog fully recovered. Her belly went back to normal. Under the woman's care, she finally had a happy home. And now she lives a joyful life every"
eOfnUtQmK9U,She doesn't want her cat being too clingy,366493,49,20250910,"This owner thinks her cat is way too clingy. Look, every time the girl tries to sleep, the cat lies right on her face, making it hard for her to breathe. Sometimes the cat even keeps licking her hair, almost making her go bald. The owner is completely speechless to keep the cat off the bed. She set up a mosquito net around it, but guess what? The cat climbed on top of the net, chewed a big hole in it, then slipped inside, and went right back to licking her head. The owner was about to lose her mind. She kicked the cat out of the room, but the cat kept scratching the door, meowing non-stop, so she could not sleep at all. Then the clever owner came up with an idea. She bought a special anti-at mattress. When the cat jumped on it, the mat pulled at the fur on its paws. The cat felt weird and started to avoid the bed. The owner thought the problem was solved, but in the middle of the night, the cat just jumped straight on top of"
xc_wcurEU8Q,Cute kittens love to sneak around,522037,47,20250910,"This owner wanted to clean the house, but his kittens kept causing trouble everywhere, so he put them all on the bed, but they all jumped right out. They crawled all over the place, even riding toy cars around the house. Some kittens thought it was a game, hiding under pillows, waiting for the owner to find them. This made the owner exhausted, so he bought a play pen, hoping to keep the kittens out. To test it, he placed a bowl of cat food inside, but the kittens slipped right through the gaps, so the owner dressed them in little clothes. To make them lighter, it actually worked. This kitten tried so many times but just could not squeeze through. Just when the owner felt relieved, some thinner kittens still got inside. So he tied a small stick to their bodies. This way, no matter how hard they tried, they could not get in anymore. Finally, the owner could clean in peace. Would you want to raise a bunch of kittens like"
H8YvjLPLGwE,This cat didn't like the poop prank,57590,53,20250909,"This owner tried to prank his cats with fake poop, but things went wrong. Look, he bought a piece of fake poop and blamed the cats for leaving it on the floor. The cat looked shocked after sniffing it. It even tried to bury it. Then the second cat also stared at the poop, totally confused when it was the gray cat's turn. It sniffed once, then actually took a bite. The owner was speechless, but then he got a new idea. He had seen a video online where someone ate fake poop to prank their cats, so he decided to try it himself. First, he bought a brand new litter box. Then, he crushed some bread to make fake litter. He shaped cookies to look like poop. And right in front of the cats, he ate the fake poop. The cats were shocked. One almost threw up. They all thought their owner had lost his mind and actually liked eating poop to get revenge for this gross prank. One cat went into the litter box and left a real poop. The owner wanted to prank them again, but when he took a bite, [Music]"
BjLyD2FIQ7g,The owner get rich because his cat’s fur,1716041,51,20250908,"This is why you should collect cat fur. Look, this owner has a lot of cats, so the whole house is covered in fur on the couch, on the bed, even in the cooking pot, and on the fruit. At first, the owner was really upset. Every morning, he woke up with cat hair in his nose until he tried needle felting and turned the fur into cute little dolls. Surprisingly, people loved them. He ended up making tens of thousands of dollars. After that, he could not stop. Every day, he used a comb to collect loose hair from his cats. Then he rolled it into a giant fur ball and turned it into dolls. Cat hair gloves, cat hair shoes, cat hair socks, cat hair hats, even cat hair coasters. Each one sold for a lot of money. To make cash even faster, he created doll shells and just stuffed them with cat hair, instantly becoming cute plush toys. In the end, this guy became a millionaire. [Music]"
7_fYXCaiEjg,This cute kitten takes a bath for the first time,2971601,50,20250907,"This kitten reaction to its first bath is just too cute. Look, after the kitten was born, it was so adorable. The owner could not resist dressing it up. He used two slices of bread to make the kitten look like a hamburger. Then, he hid it inside a bag to pretend it was a bag of chips. He even dressed it up like sushi with veggies and rice to make it look like a burrito because it was so cute. The owner kissed it every single day. The kitten ended up smelling like drool. Even the mama cat did not like it anymore. So, the owner decided to give it a bath. On its very first bath, the kitten actually loved it. It even let out a tiny fart being so relaxed. After the bath, the owner dried it gently with a haird dryer, and the kitten looked brand new. Then, the owner started kissing it all over again. The kitten was so done with it, it tried to run away so many times, always got caught and pulled back. Do you want to have a kitten this"
g_sv0U9Bnr4,This dog got adopted and find a new home,425147,56,20250906,"This dog had the cutest reaction when it finally got adopted. Look, this pitbull had been in the shelter for 3 years. Because of its looks, no one wanted to adopt it. People were even scared to get close. Until one day, a boy showed up and changed everything. When he saw the dog, he thought it was adorable. The dog even tried to smile just to look less scary. The more the boy looked, the more he fell in love, so he begged his mom to adopt it. When she said yes, the dog was overjoyed. It followed the boy to its new home and the whole family welcomed it with love. But a few weeks later, things changed. Its belly started to grow and it walked more slowly. The family rushed it to the vet and found out it was pregnant, so they spoiled it even more, giving it a soft bed and plenty of tasty food. Then one night, the dog went into labor. After a few long hours, it gave birth to four healthy puppies. Weeks later, the puppies were running around full of energy, and their mom was living her happiest life. Every single day she looked so joyful."
bJJJERsPol0,"This cat was pregnant, but who is the father of the kittens",1783433,57,20250906,"This guy found out his orange cat was pregnant, but all three of his male cats were already neutered. So, who could be the real father? Look, when he was playing with the orange cat, he noticed her belly looked bigger. At first, he thought she was sick, so he rushed her to the vet. But after the checkup, the vet said she was pregnant. The owner was shocked because he had just rescued the stray not long ago, and after only a week, she was already expecting kittens, so he hurried home trying to figure out which male cat was responsible. Then he remembered all of his male cats had been fixed. Left him really confused until one day while feeding the orange cat, he caught the gray cat doing something bad. He thought the gray cat must be the father. So he angrily separated them. But when the kittens were born, they looked nothing like the gray cat. And that is when he realized the orange cat was already pregnant while living on the streets. He forgave the gray cat and gave the orange cat the best care. In the end, all the kittens grew up healthy and they finally had a warm, loving"
fPgC7US8sRo,Why this cat gets angry and keep attacking its owner,423345,58,20250905,"This aggressive cat keeps attacking its owner. Look, when the cat was sleeping, it found out the owner was secretly looking at other cats. Then, when it checked her phone, there were tons of cat videos inside. This made the cat furious. So, every time the owner came close, the cat would launch an attack. The owner tried doing magic tricks, begging for forgiveness, but the cat was not impressed at all. Then, she bought the cat a bunch of new clothes, but every outfit looked terrible. That only made the cat even angrier. It decided to ignore the owner completely. So when the owner tried to brush its teeth, the cat attacked again. Even when she tried to pet it, the cat protested loudly. The owner was desperate. She bought a harmless toy. Pew pew, ready to start a war with the cat. Unexpectedly, the cat accepted the fight and became even more aggressive. In the end, the owner bought piles of snacks and gave the cat ice cream every day. Slowly, the cat finally forgave her. But then one day, the cat exploded with anger again because the owner took the photo and made it look like this."
AW2ZF8W4tPY,These cats don’t like the weird cat products,182720,59,20250904,"This owner bought a bunch of weird stuff for his cats. Look, when he gave his cat a bath, he tried to use a brush to collect the loose fur, but the wrong size and came back with a giant brush. The cat got so scared. After a few strokes, it tried to sneak away like it was afraid of going bald. After that, the owner bought a bunch of toys for the cats, but none of them were interested. The first toy was a fake piece of poop. It could move around, and it even smelled bad. The cats wanted nothing to do with it. The second toy was an automatic teaser wand, but it's fun way too fast. The cats would not even touch it. Next was an automatic jump rope machine, but the cats had no idea how to play. The rope just kept smacking their paws. One cat got mad, grabbed the machine, and tossed it away. Then there was a duck that was supposed to lay eggs, but it was broken and no eggs ever came out. The cats just looked so done. They thought their owner was being childish until he brought home some toy fish. Right away, all the cats gathered around. They stare at the fish all day. [Music]"
